Name,Est OG,Est FG,Est ABV,IBU (Tinseth),Color
#100 Eisbock,1.0755647942459012,1.0155428057319993,7.877885992449631,18.337634773522183,9.845805914987155
Alehouse Rock Altbier,1.060469649048454,1.0128946603484,6.244217266882095,30.019962061931786,13.233876096874845
All Day Drinking Marzen,1.038196640571353,1.0085374215168814,3.892772500899391,16.670076617301024,6.881524088716024
Baggy Ann APA,1.0332404887081366,1.0071638662646019,3.4225566957139297,51.016314726968254,4.551723931820652
Baggy Anne APA,1.0295181836720524,1.0063537905824722,3.040326593007399,32.40345738478166,5.5706825611694155
"Barrel's Round London Porter",1.0397537458320083,1.0086848648704956,4.077790626198545,20.978350611900147,15.558347769920264
Barrels Round Porter,1.0417972779409375,1.0097520569635658,4.205935253280025,25.864086685465583,20.224308872122474
Ben Nevis Wee Heavy,1.0578713591557094,1.0113840818433408,6.101455147248375,15.54752991714051,9.387858839014829
Buenos Aires Wheat (1.2),1.028595201160437,1.0061503691101177,2.9458842066043975,24.23866559461363,3.3731634513355733
Buenos Aires Wheat (1.3),1.0393442868589478,1.0079057591649017,4.126306759843549,18.800705836850202,4.832151023218448
Charlotte Bitter (1.2),1.0229138012196852,1.004599383049639,2.403767384818578,26.799719700422713,6.719190532123427
Charlotte Bitter (1.3),1.0300628754993626,1.0066908852416576,3.0675737213237784,31.430408223707154,9.777020398021737
Charlotte Bitter (1.4),1.0288201290954122,1.0060526124881317,2.9882365547055647,30.13116063640753,8.124417033490925
Charlotte Bitter (1.5),1.0255340906123644,1.0055804734189968,2.618912256629502,25.379242494553857,5.455797990094289
Charlotte Bitter (1.6),1.026241280235488,1.0058241546569435,2.6797477321839764,25.503468438768422,6.509683742552168
Charlotte Bitter (1.7),1.063202806930507,1.0141154570107747,6.4427146769648775,23.18847379118921,10.467823403160077
Chips n Gravy Kolsch,1.0602883770203273,1.0132720350017417,6.170894889939363,17.00169900058343,3.3915570478836154
Dead Cat Extra Stout,1.0384137597258563,1.0083037652920277,3.9519367694399983,41.47613542994095,36.95633906522517
Dutch Courage RIS,1.0953306822008029,1.021225320198174,9.726328762845036,36.994855304072814,36.54590996865008
Eh Up?! Pilsner,1.0370584238069083,1.0077324374953218,3.8490357033957214,43.27639990427096,2.3388633765781983
Fat Bastard Ale,1.0301378382246227,1.007014583145075,3.034927229190637,16.28605741708693,6.986643535661389
Fathers Day Abbey Ale,1.044627843729479,1.0096227872943937,4.594413657104936,37.61535433767054,3.128703964649871
"FILF, Double",1.0604879297092413,1.0130732201511345,6.223180629501515,13.584665615119665,10.399807917716279
Fit Crack Helles,1.0371656830937395,1.008282118037278,3.7909679136605576,12.67913976518304,3.175082073209041
Fit Crack Red IPA,1.0395535818397084,1.0085424357993036,4.070212917803127,78.12493302043893,6.525719542599483
Fluffy Pup Saison,1.0379879423970297,1.008733472412469,3.839649185473594,19.968367798156663,3.085143973410658
Frogbashing (session Belgian IPA),1.0413405345037092,1.0090680866604862,4.235758779423023,41.79640166093368,5.143875644326643
Frogbashing (v1.1),1.05499518310896,1.0128625952350312,5.529902158453143,69.23071255023878,7.787036181002342
Gang Bang Pils,1.0594350163381645,1.0131473003278393,6.075262726355185,27.045738634530398,3.0794400543240092
"Get Weavin'Cali Common",1.0357466150386514,1.008004262450909,3.641183777141202,35.75602146048684,7.935908401634779
Going Down Blackpool,1.0413282587316917,1.0092293435962154,4.212982611531258,12.709577186688321,13.81155172967849
Hen Night Pumpkin Ale,1.0320474979937024,1.0074630030140002,3.2267149660859236,17.917603560584887,14.682522231964631
Hen Night Pumpkin Ale (1.1),1.028723547300707,1.0061799319963456,2.958849508697439,18.19821039199304,3.6363035975163256
Holiday Schnapps Rauchbier,1.0369641034887178,1.0074364648263776,3.875502574432152,24.16435581187675,7.756773272991179
Jingle Bells Cream Ale,1.035888046527099,1.0077536986996414,3.6926331523538107,12.762368110504116,2.809823052262536
Lockdown Ale,1.064064712639979,1.0122814953931525,6.79654726364597,11.531670020290155,27.748543143765684
McCavity Ale (1.2),1.0499155206082837,1.010424785887945,5.18315893204447,33.776999228172855,13.224629753455023
Miss Macclesfield,1.0268820284178959,1.00566375778992,2.7848980199218483,13.311649620357347,1.9802672614265626
Miss Macclesfield (1.1),1.0345693652756558,1.0074318753304197,3.5617955553122416,19.028072351086806,3.107213095870569
Miss Macclesfield (2019-09-24),1.0451268919482681,1.0086472514966354,4.787952809276801,19.877070209250526,4.195549468265121
Moaning Lisa Amber Lager,1.0324596339313021,1.0072618766879862,3.3072056381852204,13.802807616288485,7.6393805636091585
"My Pub's Vienna Lager",1.0349905484648108,1.0078053569076357,3.5680563918792223,17.11870113909913,4.444032611198373
"My Pub's Vienna Lager (1.1)",1.0533295573955734,1.010760042045821,5.587248889655017,16.61818734555253,7.4599154914163135
Nagasaki Sauce,1.048067829578984,1.0107281040554799,4.900838974959923,67.57295931578446,4.545224755501523
Nagasaki Sauce (1.3),1.0639340272488198,1.013209887237411,6.657543376497419,58.26888907396278,7.644454200988543
Nagasaki Sauce (2018-09-01),1.047118247204241,1.0105223523938036,4.803211193869917,57.31080530037798,4.148599425848197
Nagasaki Sauce XX,1.051913307151879,1.0119814050231446,5.24106215439638,183.11696189830468,4.82739706882648
Nagasaki Sauce XX (1.1),1.052990141114661,1.012232479585703,5.349443075675736,202.97769763352653,5.115562413663473
Nagasaki Sauce XX (1.2),1.0776957354030807,1.0153910988688597,8.177483545116509,160.40875388204137,6.46770213340438
Outeniqua African Pale Ale (1.1),1.0346114014673033,1.00746568057328,3.5628758673405634,69.37148809482541,5.1552842783368495
Outeniqua African Pale Ale (1.2),1.0396817830214895,1.0086916889209734,4.067449850692741,44.96247951060212,3.1854357711821453
Outeniqua African Pale Ale (1.3),1.0457953032192535,1.0102529203784225,4.664937747859069,45.37178489875478,11.396773119972496
Outeniqua African Pale Ale (1.4),1.0337311911136653,1.0075244319202845,3.4396371441312272,56.74365270055683,6.983565058498802
Pietaster RyePA,1.0430813753832318,1.009315065070892,4.431828228494597,63.67433073916415,5.97236653976918
Prestbury Girls Golden Ale,1.055018479143037,1.0111710820930657,5.754970862808735,27.16221499696441,3.76427563310742
Saturday Night Amber Ale,1.038191138775411,1.0082088117973933,3.9351804158648265,30.442221800064527,9.364352089382367
Saturday Night Amber Ale (1.1),1.0310922249945984,1.0066954979267682,3.2020704276527203,28.79256419121803,8.509098917728963
Saturday Night Amber Ale (1.2),1.033875348779079,1.0072968424055555,3.4884289615249657,46.41517976943266,11.056968708867004
Saturday Night Amber Ale (1.3),1.0354054710467182,1.0076294740140228,3.645599610541271,38.8374560544856,10.24950268734511
Saturday Night Amber Ale (1.4),1.0477103815178042,1.0103165749597671,4.907937110742361,16.037419225254688,10.027214655232752
Sheep Shagger Scottish Ale,1.040768713560417,1.008470825985589,4.239097744196159,14.661675363954627,8.026074455782112
Sloppy Seconds,1.041332282900713,1.0088706890015222,4.260584199268791,44.87442874350261,13.109320873897104
Sloppy Seconds 2017,1.042182069872391,1.0090442668125177,4.349336651608363,35.581688205346424,11.574322878254565
Sloppy Seconds 2019,1.0648802781697575,1.012598379456822,6.861999206072775,27.536658237433873,15.775594163617052
Sloppy Seconds Porter (1.1),1.0456678926326943,1.010537605112903,4.610850236972623,26.23042390546429,15.79442360568359
Southern Passion Lager,1.0311611518246269,1.0069588456759302,3.1765526820164385,18.17222041356537,3.8896389433812892
Southern Passion Lager (2019-02-23),1.0520025835771927,1.010522015083753,5.44432461476395,45.56742412612428,7.57839286724763
St George Mild Ale,1.0215432366455524,1.0047736530222806,2.2010078505544164,17.9676855956181,11.481478736862714
Stripy Tank Top Porter,1.0603826087860844,1.0117145936105267,6.387676991791939,27.557423008167806,23.9102538782548
Sweaty Betty Stout,1.0445006978129199,1.0099446256904225,4.535484466077776,14.780630630021156,31.80477186021861
Sweaty Betty Stout (1.1) (2014-04-13),1.0255234307750503,1.0053005574899072,2.6542521186750254,20.64935075439426,20.550781793627845
Sweaty Betty Stout (1.1) (2016-03-26),1.0340592062791285,1.0073274528994713,3.5085426310800027,13.728787733363617,33.94765479458456
Sweaty Betty Stout (1.2),1.0376189602401593,1.0082485837959063,3.854861908308206,17.092313923398514,25.207233098621202
